IND,A,R,N,D,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,B,J,O,U,X,Z
LEVM760102 ,0.77,3.72,1.98,1.99,1.38,2.58,2.63,0,2.76,1.83,2.08,2.94,2.34,2.97,1.42,1.28,1.43,3.58,3.36,1.49,0,0,0,0,0,0
LEVM760103 ,121.9,121.4,117.5,121.2,113.7,118,118.2,0,118.2,118.9,118.1,122,113.1,118.2,81.9,117.9,117.1,118.4,110,121.7,0,0,0,0,0,0
LEVM760104 ,243.2,206.6,207.1,215,209.4,205.4,213.6,300,219.9,217.9,205.6,210.9,204,203.7,237.4,232,226.7,203.7,195.6,220.3,0,0,0,0,0,0
LEVM760105 ,0.77,2.38,1.45,1.43,1.22,1.75,1.77,0.58,1.78,1.56,1.54,2.08,1.8,1.9,1.25,1.08,1.24,2.21,2.13,1.29,0,0,0,0,0,0
LEVM760106 ,5.2,6,5,5,6.1,6,6,4.2,6,7,7,6,6.8,7.1,6.2,4.9,5,7.6,7.1,6.4,0,0,0,0,0,0
LEVM760107 ,25,0.2,0.1,0.1,0.1,0.1,0.1,25,0.1,0.19,0.19,0.2,0.19,0.39,0.17,25,0.1,0.56,0.39,0.15,0,0,0,0,0,0
LEVM780101 ,1.29,0.96,0.9,1.04,1.11,1.27,1.44,0.56,1.22,0.97,1.3,1.23,1.47,1.07,0.52,0.82,0.82,0.99,0.72,0.91,0,0,0,0,0,0
LEVM780102 ,0.9,0.99,0.76,0.72,0.74,0.8,0.75,0.92,1.08,1.45,1.02,0.77,0.97,1.32,0.64,0.95,1.21,1.14,1.25,1.49,0,0,0,0,0,0
LEVM780103 ,0.77,0.88,1.28,1.41,0.81,0.98,0.99,1.64,0.68,0.51,0.58,0.96,0.41,0.59,1.91,1.32,1.04,0.76,1.05,0.47,0,0,0,0,0,0
LEVM780104 ,1.32,0.98,0.95,1.03,0.92,1.1,1.44,0.61,1.31,0.93,1.31,1.25,1.39,1.02,0.58,0.76,0.79,0.97,0.73,0.93,0,0,0,0,0,0
LEVM780105 ,0.86,0.97,0.73,0.69,1.04,1,0.66,0.89,0.85,1.47,1.04,0.77,0.93,1.21,0.68,1.02,1.27,1.26,1.31,1.43,0,0,0,0,0,0
LEVM780106 ,0.79,0.9,1.25,1.47,0.79,0.92,1.02,1.67,0.81,0.5,0.57,0.99,0.51,0.77,1.78,1.3,0.97,0.79,0.93,0.46,0,0,0,0,0,0
LEWP710101 ,0.22,0.28,0.42,0.73,0.2,0.26,0.08,0.58,0.14,0.22,0.19,0.27,0.38,0.08,0.46,0.55,0.49,0.43,0.46,0.08,0,0,0,0,0,0
LIFS790101 ,0.92,0.93,0.6,0.48,1.16,0.95,0.61,0.61,0.93,1.81,1.3,0.7,1.19,1.25,0.4,0.82,1.12,1.54,1.53,1.81,0,0,0,0,0,0
LIFS790102 ,1,0.68,0.54,0.5,0.91,0.28,0.59,0.79,0.38,2.6,1.42,0.59,1.49,1.3,0.35,0.7,0.59,0.89,1.08,2.63,0,0,0,0,0,0
LIFS790103 ,0.9,1.02,0.62,0.47,1.24,1.18,0.62,0.56,1.12,1.54,1.26,0.74,1.09,1.23,0.42,0.87,1.3,1.75,1.68,1.53,0,0,0,0,0,0
MANP780101 ,12.97,11.72,11.42,10.85,14.63,11.76,11.89,12.43,12.16,15.67,14.9,11.36,14.39,14,11.37,11.23,11.69,13.93,13.42,15.71,0,0,0,0,0,0
MAXF760101 ,1.43,1.18,0.64,0.92,0.94,1.22,1.67,0.46,0.98,1.04,1.36,1.27,1.53,1.19,0.49,0.7,0.78,1.01,0.69,0.98,0,0,0,0,0,0
MAXF760102 ,0.86,0.94,0.74,0.72,1.17,0.89,0.62,0.97,1.06,1.24,0.98,0.79,1.08,1.16,1.22,1.04,1.18,1.07,1.25,1.33,0,0,0,0,0,0
MAXF760103 ,0.64,0.62,3.14,1.92,0.32,0.8,1.01,0.63,2.05,0.92,0.37,0.89,1.07,0.86,0.5,1.01,0.92,1,1.31,0.87,0,0,0,0,0,0
MAXF760104 ,0.17,0.76,2.62,1.08,0.95,0.91,0.28,5.02,0.57,0.26,0.21,1.17,0,0.28,0.12,0.57,0.23,0,0.97,0.24,0,0,0,0,0,0
MAXF760105 ,1.13,0.48,1.11,1.18,0.38,0.41,1.02,3.84,0.3,0.4,0.65,1.13,0,0.45,0,0.81,0.71,0.93,0.38,0.48,0,0,0,0,0,0
MAXF760106 ,1,1.18,0.87,1.39,1.09,1.13,1.04,0.46,0.71,0.68,1.01,1.05,0.36,0.65,1.95,1.56,1.23,1.1,0.87,0.58,0,0,0,0,0,0
MCMT640101 ,4.34,26.66,13.28,12,35.77,17.56,17.26,0,21.81,19.06,18.78,21.29,21.64,29.4,10.93,6.35,11.01,42.53,31.53,13.92,0,0,0,0,0,0
MEEJ800101 ,0.5,0.8,0.8,-8.2,-6.8,-4.8,-16.9,0,-3.5,13.9,8.8,0.1,4.8,13.2,6.1,1.2,2.7,14.9,6.1,2.7,0,0,0,0,0,0
MEEJ800102 ,-0.1,-4.5,-1.6,-2.8,-2.2,-2.5,-7.5,-0.5,0.8,11.8,10,-3.2,7.1,13.9,8,-3.7,1.5,18.1,8.2,3.3,0,0,0,0,0,0
MEEJ810101 ,1.1,-0.4,-4.2,-1.6,7.1,-2.9,0.7,-0.2,-0.7,8.5,11,-1.9,5.4,13.4,4.4,-3.2,-1.7,17.1,7.4,5.9,0,0,0,0,0,0
MEEJ810102 ,1,-2,-3,-0.5,4.6,-2,1.1,0.2,-2.2,7,9.6,-3,4,12.6,3.1,-2.9,-0.6,15.1,6.7,4.6,0,0,0,0,0,0
MEIH800101 ,0.93,0.98,0.98,1.01,0.88,1.02,1.02,1.01,0.89,0.79,0.85,1.05,0.84,0.78,1,1.02,0.99,0.83,0.93,0.81,0,0,0,0,0,0
MEIH800102 ,0.94,1.09,1.04,1.08,0.84,1.11,1.12,1.01,0.92,0.76,0.82,1.23,0.83,0.73,1.04,1.04,1.02,0.87,1.03,0.81,0,0,0,0,0,0
MEIH800103 ,87,81,70,71,104,66,72,90,90,105,104,65,100,108,78,83,83,94,83,94,0,0,0,0,0,0
MIYS850101 ,2.36,1.92,1.7,1.67,3.36,1.75,1.74,2.06,2.41,4.17,3.93,1.23,4.22,4.37,1.89,1.81,2.04,3.82,2.91,3.49,0,0,0,0,0,0
NAGK730101 ,1.29,0.83,0.77,1,0.94,1.1,1.54,0.72,1.29,0.94,1.23,1.23,1.23,1.23,0.7,0.78,0.87,1.06,0.63,0.97,0,0,0,0,0,0
NAGK730102 ,0.96,0.67,0.72,0.9,1.13,1.18,0.33,0.9,0.87,1.54,1.26,0.81,1.29,1.37,0.75,0.77,1.23,1.13,1.07,1.41,0,0,0,0,0,0
NAGK730103 ,0.72,1.33,1.38,1.04,1.01,0.81,0.75,1.35,0.76,0.8,0.63,0.84,0.62,0.58,1.43,1.34,1.03,0.87,1.35,0.83,0,0,0,0,0,0
NAKH900101 ,7.99,5.86,4.33,5.14,1.81,3.98,6.1,6.91,2.17,5.48,9.16,6.01,2.5,3.83,4.95,6.84,5.77,1.34,3.15,6.65,0,0,0,0,0,0
NAKH900102 ,3.73,3.34,2.33,2.23,2.3,2.36,3,3.36,1.55,2.52,3.4,3.36,1.37,1.94,3.18,2.83,2.63,1.15,1.76,2.53,0,0,0,0,0,0
NAKH900103 ,5.74,1.92,5.25,2.11,1.03,2.3,2.63,5.66,2.3,9.12,15.36,3.2,5.3,6.51,4.79,7.55,7.51,2.51,4.08,5.12,0,0,0,0,0,0
NAKH900104 ,-0.6,-1.18,0.39,-1.36,-0.34,-0.71,-1.16,-0.37,0.08,1.44,1.82,-0.84,2.04,1.38,-0.05,0.25,0.66,1.02,0.53,-0.6,0,0,0,0,0,0
NAKH900105 ,5.88,1.54,4.38,1.7,1.11,2.3,2.6,5.29,2.33,8.78,16.52,2.58,6,6.58,5.29,7.68,8.38,2.89,3.51,4.66,0,0,0,0,0,0
NAKH900106 ,-0.57,-1.29,0.02,-1.54,-0.3,-0.71,-1.17,-0.48,0.1,1.31,2.16,-1.02,2.55,1.42,0.11,0.3,0.99,1.35,0.2,-0.79,0,0,0,0,0,0
NAKH900107 ,5.39,2.81,7.31,3.07,0.86,2.31,2.7,6.52,2.23,9.94,12.64,4.67,3.68,6.34,3.62,7.24,5.44,1.64,5.42,6.18,0,0,0,0,0,0
NAKH900108 ,-0.7,-0.91,1.28,-0.93,-0.41,-0.71,-1.13,-0.12,0.04,1.77,1.02,-0.4,0.86,1.29,-0.42,0.14,-0.13,0.26,1.29,-0.19,0,0,0,0,0,0
NAKH900109 ,9.25,3.96,3.71,3.89,1.07,3.17,4.8,8.51,1.88,6.47,10.94,3.5,3.14,6.36,4.36,6.26,5.66,2.22,3.28,7.55,0,0,0,0,0,0
NAKH900110 ,0.34,-0.57,-0.27,-0.56,-0.32,-0.34,-0.43,0.48,-0.19,0.39,0.52,-0.75,0.47,1.3,-0.19,-0.2,-0.04,0.77,0.07,0.36,0,0,0,0,0,0
NAKH900111 ,10.17,1.21,1.36,1.18,1.48,1.57,1.15,8.87,1.07,10.91,16.22,1.04,4.12,9.6,2.24,5.38,5.61,2.67,2.68,11.44,0,0,0,0,0,0
NAKH900112 ,6.61,0.41,1.84,0.59,0.83,1.2,1.63,4.88,1.14,12.91,21.66,1.15,7.17,7.76,3.51,6.84,8.89,2.11,2.57,6.3,0,0,0,0,0,0
NAKH900113 ,1.61,0.4,0.73,0.75,0.37,0.61,1.5,3.12,0.46,1.61,1.37,0.62,1.59,1.24,0.67,0.68,0.92,1.63,0.67,1.3,0,0,0,0,0,0
NAKH920101 ,8.63,6.75,4.18,6.24,1.03,4.76,7.82,6.8,2.7,3.48,8.44,6.25,2.14,2.73,6.28,8.53,4.43,0.8,2.54,5.44,0,0,0,0,0,0
NAKH920102 ,10.88,6.01,5.75,6.13,0.69,4.68,9.34,7.72,2.15,1.8,8.03,6.11,3.79,2.93,7.21,7.25,3.51,0.47,1.01,4.57,0,0,0,0,0,0
NAKH920103 ,5.15,4.38,4.81,5.75,3.24,4.45,7.05,6.38,2.69,4.4,8.11,5.25,1.6,3.52,5.65,8.04,7.41,1.68,3.42,7,0,0,0,0,0,0
NAKH920104 ,5.04,3.73,5.94,5.26,2.2,4.5,6.07,7.09,2.99,4.32,9.88,6.31,1.85,3.72,6.22,8.05,5.2,2.1,3.32,6.19,0,0,0,0,0,0
NAKH920105 ,9.9,0.09,0.94,0.35,2.55,0.87,0.08,8.14,0.2,15.25,22.28,0.16,1.85,6.47,2.38,4.17,4.33,2.21,3.42,14.34,0,0,0,0,0,0
NAKH920106 ,6.69,6.65,4.49,4.97,1.7,5.39,7.76,6.32,2.11,4.51,8.23,8.36,2.46,3.59,5.2,7.4,5.18,1.06,2.75,5.27,0,0,0,0,0,0
NAKH920107 ,5.08,4.75,5.75,5.96,2.95,4.24,6.04,8.2,2.1,4.95,8.03,4.93,2.61,4.36,4.84,6.41,5.87,2.31,4.55,6.07,0,0,0,0,0,0
NAKH920108 ,9.36,0.27,2.31,0.94,2.56,1.14,0.94,6.17,0.47,13.73,16.64,0.58,3.93,10.99,1.96,5.58,4.68,2.2,3.13,12.43,0,0,0,0,0,0
NISK800101 ,0.23,-0.26,-0.94,-1.13,1.78,-0.57,-0.75,-0.07,0.11,1.19,1.03,-1.05,0.66,0.48,-0.76,-0.67,-0.36,0.9,0.59,1.24,0,0,0,0,0,0
NISK860101 ,-0.22,-0.93,-2.65,-4.12,4.66,-2.76,-3.64,-1.62,1.28,5.58,5.01,-4.18,3.51,5.27,-3.03,-2.84,-1.2,5.2,2.15,4.45,0,0,0,0,0,0
NOZY710101 ,0.5,0,0,0,0,0,0,0,0.5,1.8,1.8,0,1.3,2.5,0,0,0.4,3.4,2.3,1.5,0,0,0,0,0,0
OOBM770101 ,-1895,-1475,-1.56,-1518,-2035,-1521,-1535,-1898,-1755,-1951,-1966,-1374,-1963,-1864,-1699,-1753,-1767,-1869,-1686,-1981,0,0,0,0,0,0
OOBM770102 ,-1404,-921,-1178,-1162,-1365,-1116,-1163,-1364,-1215,-1189,-1315,-1074,-1303,-1135,-1236,-1297,-1252,-1.03,-1.03,-1254,0,0,0,0,0,0
OOBM770103 ,-491,-554,-382,-356,-0.67,-405,-371,-534,-0.54,-762,-0.65,-0.3,-659,-729,-463,-455,-515,-839,-656,-728,0,0,0,0,0,0
OOBM770104 ,-9475,-16225,-12.48,-12144,-12.21,-13689,-13815,-7592,-17.55,-15608,-15728,-12366,-15704,-20504,-11893,-10518,-12369,-26166,-20232,-13867,0,0,0,0,0,0
OOBM770105 ,-7.02,-10131,-9424,-9296,-8.19,-10044,-10467,-5456,-12.15,-9512,-10.52,-9666,-10424,-12485,-8652,-7782,-8764,-14.42,-12.36,-8778,0,0,0,0,0,0
OOBM850101 ,2.01,0.84,0.03,-2.05,1.98,1.02,0.93,0.12,-0.14,3.7,2.73,2.55,1.75,2.68,0.41,1.47,2.39,2.49,2.23,3.5,0,0,0,0,0,0
OOBM850102 ,1.34,0.95,2.49,3.32,1.07,1.49,2.2,2.07,1.27,0.66,0.54,0.61,0.7,0.8,2.12,0.94,1.09,-4.65,-0.17,1.32,0,0,0,0,0,0
OOBM850103 ,0.46,-1.54,1.31,-0.33,0.2,-1.12,0.48,0.64,-1.31,3.28,0.43,-1.71,0.15,0.52,-0.58,-0.83,-1.52,1.25,-2.21,0.54,0,0,0,0,0,0
OOBM850104 ,-2.49,2.55,2.27,8.86,-3.13,1.79,4.04,-0.56,4.22,-10.87,-7.16,-9.97,-4.96,-6.64,5.19,-1.6,-4.75,-17.84,9.25,-3.97,0,0,0,0,0,0
OOBM850105 ,4.55,5.97,5.56,2.85,-0.78,4.15,5.16,9.14,4.48,2.1,3.24,10.68,2.18,4.37,5.14,6.78,8.6,1.97,2.4,3.81,0,0,0,0,0,0
PALJ810101 ,1.3,0.93,0.9,1.02,0.92,1.04,1.43,0.63,1.33,0.87,1.3,1.23,1.32,1.09,0.63,0.78,0.8,1.03,0.71,0.95,0,0,0,0,0,0
PALJ810102 ,1.32,1.04,0.74,0.97,0.7,1.25,1.48,0.59,1.06,1.01,1.22,1.13,1.47,1.1,0.57,0.77,0.86,1.02,0.72,1.05,0,0,0,0,0,0
PALJ810103 ,0.81,1.03,0.81,0.71,1.12,1.03,0.59,0.94,0.85,1.47,1.03,0.77,0.96,1.13,0.75,1.02,1.19,1.24,1.35,1.44,0,0,0,0,0,0
PALJ810104 ,0.9,0.75,0.82,0.75,1.12,0.95,0.44,0.83,0.86,1.59,1.24,0.75,0.94,1.41,0.46,0.7,1.2,1.28,1.45,1.73,0,0,0,0,0,0
PALJ810105 ,0.84,0.91,1.48,1.28,0.69,1,0.78,1.76,0.53,0.55,0.49,0.95,0.52,0.88,1.47,1.29,1.05,0.88,1.28,0.51,0,0,0,0,0,0
PALJ810106 ,0.65,0.93,1.45,1.47,1.43,0.94,0.75,1.53,0.96,0.57,0.56,0.95,0.71,0.72,1.51,1.46,0.96,0.9,1.12,0.55,0,0,0,0,0,0
PALJ810107 ,1.08,0.93,1.05,0.86,1.22,0.95,1.09,0.85,1.02,0.98,1.04,1.01,1.11,0.96,0.91,0.95,1.15,1.17,0.8,1.03,0,0,0,0,0,0
PALJ810108 ,1.34,0.91,0.83,1.06,1.27,1.13,1.69,0.47,1.11,0.84,1.39,1.08,0.9,1.02,0.48,1.05,0.74,0.64,0.73,1.18,0,0,0,0,0,0
PALJ810109 ,1.15,1.06,0.87,1,1.03,1.43,1.37,0.64,0.95,0.99,1.22,1.2,1.45,0.92,0.72,0.84,0.97,1.11,0.72,0.82,0,0,0,0,0,0
PALJ810110 ,0.89,1.06,0.67,0.71,1.04,1.06,0.72,0.87,1.04,1.14,1.02,1,1.41,1.32,0.69,0.86,1.15,1.06,1.35,1.66,0,0,0,0,0,0
PALJ810111 ,0.82,0.99,1.27,0.98,0.71,1.01,0.54,0.94,1.26,1.67,0.94,0.73,1.3,1.56,0.69,0.65,0.98,1.25,1.26,1.22,0,0,0,0,0,0
PALJ810112 ,0.98,1.03,0.66,0.74,1.01,0.63,0.59,0.9,1.17,1.38,1.05,0.83,0.82,1.23,0.73,0.98,1.2,1.26,1.23,1.62,0,0,0,0,0,0
PALJ810113 ,0.69,0,1.52,2.42,0,1.44,0.63,2.64,0.22,0.43,0,1.18,0.88,2.2,1.34,1.43,0.28,0,1.53,0.14,0,0,0,0,0,0
PALJ810114 ,0.87,1.3,1.36,1.24,0.83,1.06,0.91,1.69,0.91,0.27,0.67,0.66,0,0.47,1.54,1.08,1.12,1.24,0.54,0.69,0,0,0,0,0,0
PALJ810115 ,0.91,0.77,1.32,0.9,0.5,1.06,0.53,1.61,1.08,0.36,0.77,1.27,0.76,0.37,1.62,1.34,0.87,1.1,1.24,0.52,0,0,0,0,0,0
PALJ810116 ,0.92,0.9,1.57,1.22,0.62,0.66,0.92,1.61,0.39,0.79,0.5,0.86,0.5,0.96,1.3,1.4,1.11,0.57,1.78,0.5,0,0,0,0,0,0
PARJ860101 ,2.1,4.2,7,10,1.4,6,7.8,5.7,2.1,-8,-9.2,5.7,-4.2,-9.2,2.1,6.5,5.2,-10,-1.9,-3.7,0,0,0,0,0,0
PLIV810101 ,-2.89,-3.3,-3.41,-3.38,-2.49,-3.15,-2.94,-3.25,-2.84,-1.72,-1.61,-3.31,-1.84,-1.63,-2.5,-3.3,-2.91,-1.75,-2.42,-2.08,0,0,0,0,0,0
PONP800101 ,12.28,11.49,11,10.97,14.93,11.28,11.19,12.01,12.84,14.77,14.1,10.8,14.33,13.43,11.19,11.26,11.65,12.95,13.29,15.07,0,0,0,0,0,0
PONP800102 ,7.62,6.81,6.17,6.18,10.93,6.67,6.38,7.31,7.85,9.99,9.37,5.72,9.83,8.99,6.64,6.93,7.08,8.41,8.53,10.38,0,0,0,0,0,0
PONP800103 ,2.63,2.45,2.27,2.29,3.36,2.45,2.31,2.55,2.57,3.08,2.98,2.12,3.18,3.02,2.46,2.6,2.55,2.85,2.79,3.21,0,0,0,0,0,0
PONP800104 ,13.65,11.28,12.24,10.98,14.49,11.3,12.55,15.36,11.59,14.63,14.01,11.96,13.4,14.08,11.51,11.26,13,12.06,12.64,12.88,0,0,0,0,0,0
PONP800105 ,14.6,13.24,11.79,13.78,15.9,12.02,13.59,14.18,15.35,14.1,16.49,13.28,16.23,14.18,14.1,13.36,14.5,13.9,14.76,16.3,0,0,0,0,0,0
PONP800106 ,10.67,11.05,10.85,10.21,14.15,11.71,11.71,10.95,12.07,12.95,13.07,9.93,15,13.27,10.62,11.18,10.53,11.41,11.52,13.86,0,0,0,0,0,0
PONP800107 ,3.7,2.53,2.12,2.6,3.03,2.7,3.3,3.13,3.57,7.69,5.88,1.79,5.21,6.6,2.12,2.43,2.6,6.25,3.03,7.14,0,0,0,0,0,0
PONP800108 ,6.05,5.7,5.04,4.95,7.86,5.45,5.1,6.16,5.8,7.51,7.37,4.88,6.39,6.62,5.65,5.53,5.81,6.98,6.73,7.62,0,0,0,0,0,0
PRAM820101 ,305,227,322,335,339,306,282,352,215,278,262,391,0.28,195,346,326,251,291,293,291,0,0,0,0,0,0
PRAM820102 ,175,83,0.09,0.14,74,93,135,201,125,0.1,104,58,54,104,136,155,152,92,81,96,0,0,0,0,0,0
PRAM820103 ,687,0.59,489,632,263,527,669,0.67,594,564,541,407,328,577,0.6,692,713,632,495,529,0,0,0,0,0,0
PRAM900101 ,-6.7,51.5,20.1,38.5,-8.4,17.2,34.3,-4.2,12.6,-13,-11.7,36.8,-14.2,-15.5,0.8,-2.5,-5,-7.9,2.9,-10.9,0,0,0,0,0,0
PRAM900102 ,1.29,0.96,0.9,1.04,1.11,1.27,1.44,0.56,1.22,0.97,1.3,1.23,1.47,1.07,0.52,0.82,0.82,0.99,0.72,0.91,0,0,0,0,0,0
PRAM900103 ,0.9,0.99,0.76,0.72,0.74,0.8,0.75,0.92,1.08,1.45,1.02,0.77,0.97,1.32,0.64,0.95,1.21,1.14,1.25,1.49,0,0,0,0,0,0
PRAM900104 ,0.78,0.88,1.28,1.41,0.8,0.97,1,1.64,0.69,0.51,0.59,0.96,0.39,0.58,1.91,1.33,1.03,0.75,1.05,0.47,0,0,0,0,0,0
PTIO830101 ,1.1,0.95,0.8,0.65,0.95,1,1,0.6,0.85,1.1,1.25,1,1.15,1.1,0.1,0.75,0.75,1.1,1.1,0.95,0,0,0,0,0,0
PTIO830102 ,1,0.7,0.6,0.5,1.9,1,0.7,0.3,0.8,4,2,0.7,1.9,3.1,0.2,0.9,1.7,2.2,2.8,4,0,0,0,0,0,0
QIAN880101 ,0.12,0.04,-0.1,0.01,-0.25,-0.03,-0.02,-0.02,-0.06,-0.07,0.05,0.26,0,0.05,-0.19,-0.19,-0.04,-0.06,-0.14,-0.03,0,0,0,0,0,0
QIAN880102 ,0.26,-0.14,-0.03,0.15,-0.15,-0.13,0.21,-0.37,0.1,-0.03,-0.02,0.12,0,0.12,-0.08,0.01,-0.34,-0.01,-0.29,0.02,0,0,0,0,0,0
QIAN880103 ,0.64,-0.1,0.09,0.33,0.03,-0.23,0.51,-0.09,-0.23,-0.22,0.41,-0.17,0.13,-0.03,-0.43,-0.1,-0.07,-0.02,-0.38,-0.01,0,0,0,0,0,0
QIAN880104 ,0.29,-0.03,-0.04,0.11,-0.05,0.26,0.28,-0.67,-0.26,0,0.47,-0.19,0.27,0.24,-0.34,-0.17,-0.2,0.25,-0.3,-0.01,0,0,0,0,0,0
QIAN880105 ,0.68,-0.22,-0.09,-0.02,-0.15,-0.15,0.44,-0.73,-0.14,-0.08,0.61,0.03,0.39,0.06,-0.76,-0.26,-0.1,0.2,-0.04,0.12,0,0,0,0,0,0
QIAN880106 ,0.34,0.22,-0.33,0.06,-0.18,0.01,0.2,-0.88,-0.09,-0.03,0.2,-0.11,0.43,0.15,-0.81,-0.35,-0.37,0.07,-0.31,0.13,0,0,0,0,0,0
QIAN880107 ,0.57,0.23,-0.36,-0.46,-0.15,0.15,0.26,-0.71,-0.05,0,0.48,0.16,0.41,0.03,-1.12,-0.47,-0.54,-0.1,-0.35,0.31,0,0,0,0,0,0
QIAN880108 ,0.33,0.1,-0.19,-0.44,-0.03,0.19,0.21,-0.46,0.27,-0.33,0.57,0.23,0.79,0.48,-1.86,-0.23,-0.33,0.15,-0.19,0.24,0,0,0,0,0,0
QIAN880109 ,0.13,0.08,-0.07,-0.71,-0.09,0.12,0.13,-0.39,0.32,0,0.5,0.37,0.63,0.15,-1.4,-0.28,-0.21,0.02,-0.1,0.17,0,0,0,0,0,0
QIAN880110 ,0.31,0.18,-0.1,-0.81,-0.26,0.41,-0.06,-0.42,0.51,-0.15,0.56,0.47,0.58,0.1,-1.33,-0.49,-0.44,0.14,-0.08,-0.01,0,0,0,0,0,0
QIAN880111 ,0.21,0.07,-0.04,-0.58,-0.12,0.13,-0.23,-0.15,0.37,0.31,0.7,0.28,0.61,-0.06,-1.03,-0.28,-0.25,0.21,0.16,0,0,0,0,0,0,0
QIAN880112 ,0.18,0.21,-0.03,-0.32,-0.29,-0.27,-0.25,-0.4,0.28,-0.03,0.62,0.41,0.21,0.05,-0.84,-0.05,-0.16,0.32,0.11,0.06,0,0,0,0,0,0
QIAN880113 ,-0.08,0.05,-0.08,-0.24,-0.25,-0.28,-0.19,-0.1,0.29,-0.01,0.28,0.45,0.11,0,-0.42,0.07,-0.33,0.36,0,-0.13,0,0,0,0,0,0
QIAN880114 ,-0.18,-0.13,0.28,0.05,-0.26,0.21,-0.06,0.23,0.24,-0.42,-0.23,0.03,-0.42,-0.18,-0.13,0.41,0.33,-0.1,-0.1,-0.07,0,0,0,0,0,0
QIAN880115 ,-0.01,0.02,0.41,-0.09,-0.27,0.01,0.09,0.13,0.22,-0.27,-0.25,0.08,-0.57,-0.12,0.26,0.44,0.35,-0.15,0.15,-0.09,0,0,0,0,0,0
QIAN880116 ,-0.19,0.03,0.02,-0.06,-0.29,0.02,-0.1,0.19,-0.16,-0.08,-0.42,-0.09,-0.38,-0.32,0.05,0.25,0.22,-0.19,0.05,-0.15,0,0,0,0,0,0
QIAN880117 ,-0.14,0.14,-0.27,-0.1,-0.64,-0.11,-0.39,0.46,-0.04,0.16,-0.57,0.04,0.24,0.08,0.02,-0.12,0,-0.1,0.18,0.29,0,0,0,0,0,0
QIAN880118 ,-0.31,0.25,-0.53,-0.54,-0.06,0.07,-0.52,0.37,-0.32,0.57,0.09,-0.29,0.29,0.24,-0.31,0.11,0.03,0.15,0.29,0.48,0,0,0,0,0,0
QIAN880119 ,-0.1,0.19,-0.89,-0.89,0.13,-0.04,-0.34,-0.45,-0.34,0.95,0.32,-0.46,0.43,0.36,-0.91,-0.12,0.49,0.34,0.42,0.76,0,0,0,0,0,0
QIAN880120 ,-0.25,-0.02,-0.77,-1.01,0.13,-0.12,-0.62,-0.72,-0.16,1.1,0.23,-0.59,0.32,0.48,-1.24,-0.31,0.17,0.45,0.77,0.69,0,0,0,0,0,0
QIAN880121 ,-0.26,-0.09,-0.34,-0.55,0.47,-0.33,-0.75,-0.56,-0.04,0.94,0.25,-0.55,-0.05,0.2,-1.28,-0.28,0.08,0.22,0.53,0.67,0,0,0,0,0,0
QIAN880122 ,0.05,-0.11,-0.4,-0.11,0.36,-0.67,-0.35,0.14,0.02,0.47,0.32,-0.51,-0.1,0.2,-0.79,0.03,-0.15,0.09,0.34,0.58,0,0,0,0,0,0
QIAN880123,-0.44,-0.13,0.05,-0.2,0.13,-0.58,-0.28,0.08,0.09,-0.04,-0.12,-0.33,-0.21,-0.13,-0.48,0.27,0.47,-0.22,-0.11,0.06,0,0,0,0,0,0
QIAN880124 ,-0.31,-0.1,0.06,0.13,-0.11,-0.47,-0.05,0.45,-0.06,-0.25,-0.44,-0.44,-0.28,-0.04,-0.29,0.34,0.27,-0.08,0.06,0.11,0,0,0,0,0,0
QIAN880125 ,-0.02,0.04,0.03,0.11,-0.02,-0.17,0.1,0.38,-0.09,-0.48,-0.26,-0.39,-0.14,-0.03,-0.04,0.41,0.36,-0.01,-0.08,-0.18,0,0,0,0,0,0
QIAN880126 ,-0.06,0.02,0.1,0.24,-0.19,-0.04,-0.04,0.17,0.19,-0.2,-0.46,-0.43,-0.52,-0.33,0.37,0.43,0.5,-0.32,0.35,0,0,0,0,0,0,0
QIAN880127 ,-0.05,0.06,0,0.15,0.3,-0.08,-0.02,-0.14,-0.07,0.26,0.04,-0.42,0.25,0.09,0.31,-0.11,-0.06,0.19,0.33,0.04,0,0,0,0,0,0
QIAN880128 ,-0.19,0.17,-0.38,0.09,0.41,0.04,-0.2,0.28,-0.19,-0.06,0.34,-0.2,0.45,0.07,0.04,-0.23,-0.02,0.16,0.22,0.05,0,0,0,0,0,0
QIAN880129 ,-0.43,0.06,0,-0.31,0.19,0.14,-0.41,-0.21,0.21,0.29,-0.1,0.33,-0.01,0.25,0.28,-0.23,-0.26,0.15,0.09,-0.1,0,0,0,0,0,0
QIAN880130 ,-0.19,-0.07,0.17,-0.27,0.42,-0.29,-0.22,0.17,0.17,-0.34,-0.22,0,-0.53,-0.31,0.14,0.22,0.1,-0.15,-0.02,-0.33,0,0,0,0,0,0
QIAN880131 ,-0.25,0.12,0.61,0.6,0.18,0.09,-0.12,0.09,0.42,-0.54,-0.55,0.14,-0.47,-0.29,0.89,0.24,0.16,-0.44,-0.19,-0.45,0,0,0,0,0,0
QIAN880132 ,-0.27,-0.4,0.71,0.54,0,-0.08,-0.12,1.14,0.18,-0.74,-0.54,0.45,-0.76,-0.47,1.4,0.4,-0.1,-0.46,-0.05,-0.86,0,0,0,0,0,0
